Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1020.150024,1037.000000,1008.099976,1019.750000,1008.911682,13486204
2020-09-24,1003.000000,1009.000000,970.000000,975.400024,965.033081,14427432
2020-09-25,975.799988,1014.900024,975.000000,1011.450012,1000.699890,13311078
2020-09-28,1014.799988,1016.150024,998.500000,1010.400024,999.661072,8554526
2020-09-29,1018.000000,1028.000000,1004.099976,1009.000000,998.275940,8708463
2020-09-30,1009.000000,1023.950012,1005.000000,1008.250000,997.533936,8048817
2020-10-01,1020.599976,1026.500000,1011.750000,1017.650024,1006.834045,5563358
2020-10-05,1018.049988,1054.900024,1018.049988,1048.699951,1037.553955,14212509
2020-10-06,1055.000000,1060.000000,1031.349976,1055.750000,1044.529053,9090819
2020-10-07,1044.900024,1072.000000,1035.500000,1066.550049,1055.214355,9284008
2020-10-08,1090.000000,1124.000000,1088.400024,1093.699951,1082.075684,21482613
2020-10-09,1095.099976,1113.300049,1088.449951,1106.800049,1095.036499,10567867
2020-10-12,1123.000000,1140.000000,1112.099976,1132.099976,1120.067505,14633537
2020-10-13,1135.550049,1166.050049,1135.550049,1157.800049,1145.494507,17523825
2020-10-14,1162.000000,1164.900024,1131.099976,1137.000000,1124.915527,16649573
2020-10-15,1180.000000,1186.000000,1092.500000,1108.250000,1096.471069,44288251
2020-10-16,1113.849976,1135.949951,1096.900024,1127.500000,1115.516479,18365685
2020-10-19,1135.000000,1139.000000,1115.300049,1125.900024,1113.933472,12902123
2020-10-20,1118.900024,1144.699951,1110.000000,1137.500000,1125.410156,10448776
2020-10-21,1141.150024,1154.349976,1135.000000,1148.349976,1136.144897,19811433
2020-10-22,1142.000000,1158.000000,1123.800049,1129.050049,1117.050049,11271335
2020-10-23,1133.000000,1135.000000,1120.150024,1122.500000,1122.500000,9069862
2020-10-26,1122.250000,1129.599976,1103.150024,1112.449951,1112.449951,6309368
2020-10-27,1105.699951,1109.699951,1077.150024,1090.849976,1090.849976,10172479
2020-10-28,1095.500000,1104.750000,1070.050049,1076.550049,1076.550049,7608392
2020-10-29,1070.000000,1082.000000,1060.099976,1074.849976,1074.849976,6935616
2020-10-30,1072.000000,1083.599976,1052.349976,1060.599976,1060.599976,8800386
2020-11-02,1065.000000,1079.949951,1051.099976,1072.300049,1072.300049,7183119
2020-11-03,1072.000000,1079.400024,1057.500000,1062.550049,1062.550049,7204782
2020-11-04,1068.000000,1116.000000,1066.800049,1093.949951,1093.949951,15702690
2020-11-05,1109.900024,1123.000000,1099.000000,1104.000000,1104.000000,9568890
2020-11-06,1108.000000,1121.099976,1091.699951,1112.750000,1112.750000,8807127
2020-11-09,1129.300049,1146.000000,1121.150024,1136.550049,1136.550049,10160320
2020-11-10,1113.849976,1113.849976,1078.000000,1091.050049,1091.050049,15622869
2020-11-11,1096.000000,1126.349976,1087.000000,1122.500000,1122.500000,12514800
2020-11-12,1128.099976,1142.000000,1113.750000,1117.750000,1117.750000,9180976
